"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"263659","1,317.9181","0.000","32.205","60.000"
"263660","1,317.9241","0.000","32.205","60.000"
"263661","1,317.9300","0.000","32.230","60.000"
"263662","1,317.9359","-0.017","32.200","60.000"
"263663","1,317.9419","-0.017","32.225","60.000"
"263664","1,317.9478","-0.017","32.225","60.000"
"263665","1,317.9537","0.000","32.190","60.000"
"263666","1,317.9597","0.000","32.190","60.000"
"263667","1,317.9656","0.000","32.190","60.000"
"263668","1,317.9688","0.017","32.185","60.000"
"263669","1,317.9720","0.000","32.240","60.000"
"263670","1,317.9753","0.000","32.240","60.000"
"263671","1,317.9785","0.000","32.205","60.000"
"263672","1,317.9817","-0.017","32.230","60.000"
"263673","1,317.9870","0.000","32.205","60.000"
"263674","1,317.9923","-0.017","32.205","60.000"
"263675","1,317.9976","0.000","32.220","60.000"
"263676","1,318.0021","-0.017","32.220","60.000"
"263677","1,318.0067","-0.017","32.220","60.000"
"263678","1,318.0113","0.000","32.220","60.000"
"263679","1,318.0159","0.000","32.200","60.000"
"263680","1,318.0204","-0.033","32.230","60.000"
"263681","1,318.0250","0.017","32.230","60.000"
"263682","1,318.0296","-0.017","32.210","60.000"
"263683","1,318.0377","-0.017","32.220","60.000"
"263684","1,318.0458","0.000","32.220","60.000"
"263685","1,318.0498","0.000","32.215","60.000"
"263686","1,318.0537","-0.017","32.235","60.000"
"263687","1,318.0577","0.000","32.235","60.000"
"263688","1,318.0617","0.017","32.205","60.000"
"263689","1,318.0671","0.033","32.215","60.000"
"263690","1,318.0724","-0.017","32.185","60.000"
"263691","1,318.0777","-0.050","32.185","60.000"
"263692","1,318.0823","-0.050","32.210","60.000"
"263693","1,318.0868","-0.033","32.205","60.000"
"263694","1,318.0913","0.033","32.205","60.000"
"263695","1,318.0959","0.050","32.205","60.000"
"263696","1,318.1004","0.033","32.210","60.000"
"263697","1,318.1050","-0.033","32.240","60.000"
"263698","1,318.1095","-0.067","32.240","60.000"
"263699","1,318.1176","-0.050","32.185","60.000"
"263700","1,318.1256","0.000","32.210","60.000"
"263701","1,318.1296","0.017","32.210","60.000"
"263702","1,318.1336","0.033","32.230","60.000"
"263703","1,318.1375","0.017","32.205","60.000"
"263704","1,318.1415","-0.017","32.220","60.000"
"263705","1,318.1468","-0.050","32.220","60.000"
"263706","1,318.1522","-0.050","32.220","60.000"
"263707","1,318.1576","-0.017","32.205","60.000"
"263708","1,318.1629","0.017","32.205","60.000"
"263709","1,318.1683","-0.017","32.240","60.000"
"263710","1,318.1737","0.000","32.215","60.000"
"263711","1,318.1791","-0.017","32.215","60.000"
"263712","1,318.1845","-0.017","32.225","60.000"
"263713","1,318.1899","-0.017","32.250","60.000"
"263714","1,318.1952","0.000","32.240","60.000"
"263715","1,318.2005","0.000","32.240","60.000"
"263716","1,318.2057","0.000","32.185","60.000"
"263717","1,318.2097","-0.017","32.230","60.000"
"263718","1,318.2136","-0.017","32.230","60.000"
"263719","1,318.2175","-0.017","32.220","60.000"
"263720","1,318.2214","0.017","32.205","60.000"
"263721","1,318.2269","0.000","32.215","60.000"
"263722","1,318.2324","0.000","32.215","60.000"
"263723","1,318.2378","-0.017","32.250","60.000"
"263724","1,318.2431","-0.017","32.205","60.000"
"263725","1,318.2484","0.017","32.205","60.000"
"263726","1,318.2536","0.000","32.185","60.000"
"263727","1,318.2589","-0.033","32.205","60.000"
"263728","1,318.2642","-0.017","32.205","60.000"
"263729","1,318.2695","0.000","32.220","60.000"
"263730","1,318.2748","0.017","32.235","60.000"
"263731","1,318.2801","0.000","32.205","60.000"
"263732","1,318.2854","0.000","32.205","60.000"
"263733","1,318.2895","0.000","32.235","60.000"
"263734","1,318.2935","-0.017","32.210","60.000"
"263735","1,318.2975","0.017","32.210","60.000"
"263736","1,318.3015","0.000","32.205","60.000"
"263737","1,318.3068","0.000","32.220","60.000"
"263738","1,318.3121","0.000","32.220","60.000"
"263739","1,318.3174","-0.017","32.220","60.000"
"263740","1,318.3228","0.017","32.205","60.000"
"263741","1,318.3282","0.017","32.215","60.000"
"263742","1,318.3336","0.017","32.215","60.000"
"263743","1,318.3390","-0.017","32.215","60.000"
"263744","1,318.3444","-0.017","32.200","60.000"
"263745","1,318.3498","-0.017","32.200","60.000"
