Device,Pressure,Temperature,Volumetric Flow,Mass Flow,Set Point,Total,Gas,Date,Time,Elaps. Mill.
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:01.819,63.1451
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:01.928,173.3293
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.038,282.283
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.147,391.3041
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.256,501.7638
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.366,610.2075
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.475,719.5346
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.584,829.7545
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.694,938.159
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.803,1047.6722
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:02.912,1156.7076
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.022,1266.8211
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.131,1375.5314
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.241,1484.7816
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.350,1594.6297
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.459,1704.5813
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.569,1812.7465
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.678,1922.5276
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.787,2031.5681
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:03.897,2142.2689
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:04.006,2253.7072
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:04.115,2360.5013
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:04.225,2470.2664
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:04.334,2579.7873
B,14.29,23.75,0.00,0.00,0.00,,Air,04/09/2020,15:51:04.443,2687.858
