"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"475869","2,378.2461","51.550","31.400","60.000"
"475870","2,378.2513","59.267","31.410","60.000"
"475871","2,378.2566","54.683","31.410","60.000"
"475872","2,378.2619","60.000","31.405","60.000"
"475873","2,378.2671","55.950","31.440","60.000"
"475874","2,378.2724","52.300","31.440","60.000"
"475875","2,378.2777","55.717","31.430","60.000"
"475876","2,378.2830","57.317","31.390","60.000"
"475877","2,378.2883","52.300","31.390","60.000"
"475878","2,378.2938","53.650","31.415","60.000"
"475879","2,378.2993","56.867","31.390","60.000"
"475880","2,378.3047","57.600","31.430","60.000"
"475881","2,378.3087","51.083","31.430","60.000"
"475882","2,378.3127","62.667","31.430","60.000"
"475883","2,378.3167","59.033","31.410","60.000"
"475884","2,378.3207","59.950","31.410","60.000"
"475885","2,378.3260","59.150","31.415","60.000"
"475886","2,378.3313","57.083","31.400","60.000"
"475887","2,378.3365","54.667","31.410","60.000"
"475888","2,378.3418","58.300","31.410","60.000"
"475889","2,378.3471","56.117","31.440","60.000"
"475890","2,378.3523","57.350","31.405","60.000"
"475891","2,378.3577","63.200","31.405","60.000"
"475892","2,378.3631","55.700","31.415","60.000"
"475893","2,378.3685","54.633","31.415","60.000"
"475894","2,378.3738","58.950","31.400","60.000"
"475895","2,378.3791","59.150","31.400","60.000"
"475896","2,378.3843","59.217","31.410","60.000"
"475897","2,378.3897","56.100","31.435","60.000"
"475898","2,378.3951","55.317","31.435","60.000"
"475899","2,378.4005","62.617","31.410","60.000"
"475900","2,378.4057","59.800","31.450","60.000"
"475901","2,378.4110","56.800","31.450","60.000"
"475902","2,378.4163","59.983","31.405","60.000"
"475903","2,378.4215","54.767","31.410","60.000"
"475904","2,378.4268","57.967","31.430","60.000"
"475905","2,378.4321","62.433","31.430","60.000"
"475906","2,378.4373","53.000","31.415","60.000"
"475907","2,378.4426","64.650","31.410","60.000"
"475908","2,378.4466","55.533","31.410","60.000"
"475909","2,378.4506","61.750","31.410","60.000"
"475910","2,378.4546","60.850","31.400","60.000"
"475911","2,378.4586","59.567","31.390","60.000"
"475912","2,378.4639","55.900","31.390","60.000"
"475913","2,378.4692","64.600","31.445","60.000"
"475914","2,378.4745","55.767","31.410","60.000"
"475915","2,378.4790","58.767","31.410","60.000"
"475916","2,378.4836","57.683","31.405","60.000"
"475917","2,378.4881","58.250","31.405","60.000"
"475918","2,378.4926","57.667","31.405","60.000"
"475919","2,378.4972","51.267","31.450","60.000"
"475920","2,378.5017","50.817","31.380","60.000"
"475921","2,378.5063","54.700","31.410","60.000"
"475922","2,378.5117","56.517","31.410","60.000"
"475923","2,378.5171","55.050","31.410","60.000"
"475924","2,378.5226","56.433","31.390","60.000"
"475925","2,378.5279","52.983","31.390","60.000"
"475926","2,378.5332","54.550","31.410","60.000"
"475927","2,378.5386","57.783","31.425","60.000"
"475928","2,378.5438","61.183","31.415","60.000"
"475929","2,378.5491","59.083","31.415","60.000"
"475930","2,378.5544","59.967","31.405","60.000"
"475931","2,378.5590","52.300","31.435","60.000"
"475932","2,378.5635","54.083","31.435","60.000"
