"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM4, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239353834"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"4369","21.8190","-0.033","24.005","60.000"
"4370","21.8229","-0.050","24.035","60.000"
"4371","21.8268","-0.067","24.015","60.000"
"4372","21.8307","-0.033","24.035","60.000"
"4373","21.8360","-0.067","24.035","60.000"
"4374","21.8413","-0.067","23.995","60.000"
"4375","21.8466","-0.050","23.995","60.000"
"4376","21.8519","-0.050","23.995","60.000"
"4377","21.8573","-0.050","24.035","60.000"
"4378","21.8626","-0.067","23.990","60.000"
"4379","21.8681","-0.033","23.990","60.000"
"4380","21.8735","-0.050","23.990","60.000"
"4381","21.8790","-0.050","23.990","60.000"
"4382","21.8822","-0.033","24.015","60.000"
"4383","21.8854","-0.050","24.015","60.000"
"4384","21.8886","-0.050","23.975","60.000"
"4385","21.8918","-0.050","24.020","60.000"
"4386","21.8950","-0.050","24.050","60.000"
"4387","21.9028","-0.017","24.050","60.000"
"4388","21.9105","-0.017","24.020","60.000"
"4389","21.9159","-0.050","23.995","60.000"
"4390","21.9212","-0.033","23.995","60.000"
"4391","21.9265","-0.017","24.035","60.000"
"4392","21.9320","-0.033","23.985","60.000"
"4393","21.9374","-0.033","24.015","60.000"
"4394","21.9428","-0.017","24.015","60.000"
"4395","21.9468","-0.033","24.005","60.000"
"4396","21.9508","-0.033","23.995","60.000"
"4397","21.9548","-0.033","23.995","60.000"
"4398","21.9588","-0.050","24.020","60.000"
"4399","21.9668","-0.033","24.035","60.000"
"4400","21.9747","-0.067","23.990","60.000"
"4401","21.9787","-0.050","23.990","60.000"
"4402","21.9826","-0.067","24.030","60.000"
"4403","21.9865","-0.050","24.000","60.000"
"4404","21.9905","-0.067","24.000","60.000"
"4405","21.9958","-0.067","24.015","60.000"
"4406","22.0011","-0.050","24.035","60.000"
"4407","22.0064","-0.050","24.045","60.000"
"4408","22.0105","-0.067","24.045","60.000"
"4409","22.0146","-0.067","23.995","60.000"
"4410","22.0187","-0.050","24.015","60.000"
"4411","22.0228","-0.033","24.025","60.000"
"4412","22.0308","-0.033","24.025","60.000"
"4413","22.0387","-0.067","24.020","60.000"
"4414","22.0440","-0.050","24.015","60.000"
"4415","22.0492","-0.033","24.015","60.000"
"4416","22.0545","-0.050","24.015","60.000"
"4417","22.0584","-0.017","24.015","60.000"
"4418","22.0624","-0.033","24.015","60.000"
"4419","22.0663","-0.050","24.015","60.000"
"4420","22.0703","-0.033","24.015","60.000"
"4421","22.0743","-0.033","24.040","60.000"
"4422","22.0783","-0.033","24.040","60.000"
"4423","22.0823","-0.033","24.000","60.000"
"4424","22.0863","-0.050","24.000","60.000"
"4425","22.0943","-0.067","24.010","60.000"
"4426","22.1022","-0.033","24.010","60.000"
"4427","22.1076","-0.067","24.015","60.000"
"4428","22.1129","-0.050","24.015","60.000"
"4429","22.1182","-0.017","24.015","60.000"
"4430","22.1237","-0.050","24.020","60.000"
"4431","22.1291","-0.050","24.010","60.000"
"4432","22.1346","-0.050","24.010","60.000"
"4433","22.1385","-0.067","24.010","60.000"
"4434","22.1424","-0.050","24.040","60.000"
"4435","22.1463","-0.067","24.015","60.000"
"4436","22.1502","-0.033","24.015","60.000"
"4437","22.1555","-0.033","23.990","60.000"
"4438","22.1609","-0.033","24.030","60.000"
"4439","22.1662","-0.050","24.030","60.000"
"4440","22.1716","-0.033","24.030","60.000"
"4441","22.1771","-0.033","24.015","60.000"
"4442","22.1825","-0.050","24.015","60.000"
"4443","22.1878","-0.017","24.015","60.000"
"4444","22.1931","-0.033","24.035","60.000"
"4445","22.1983","-0.033","24.010","60.000"
"4446","22.2024","-0.033","24.015","60.000"
"4447","22.2064","-0.033","24.015","60.000"
"4448","22.2105","-0.033","24.035","60.000"
