"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"452749","2,262.7372","-0.017","29.815","60.000"
"452750","2,262.7417","-0.017","29.830","60.000"
"452751","2,262.7463","-0.017","29.860","60.000"
"452752","2,262.7508","-0.017","29.860","60.000"
"452753","2,262.7553","-0.017","29.810","60.000"
"452754","2,262.7598","-0.017","29.820","60.000"
"452755","2,262.7644","0.000","29.820","60.000"
"452756","2,262.7724","0.000","29.835","60.000"
"452757","2,262.7804","0.000","29.835","60.000"
"452758","2,262.7845","-0.017","29.825","60.000"
"452759","2,262.7886","-0.017","29.825","60.000"
"452760","2,262.7927","-0.017","29.850","60.000"
"452761","2,262.7968","-0.033","29.840","60.000"
"452762","2,262.8020","-0.033","29.840","60.000"
"452763","2,262.8072","-0.033","29.835","60.000"
"452764","2,262.8124","-0.033","29.855","60.000"
"452765","2,262.8177","-0.033","29.850","60.000"
"452766","2,262.8231","-0.017","29.850","60.000"
"452767","2,262.8285","-0.033","29.845","60.000"
"452768","2,262.8339","-0.033","29.870","60.000"
"452769","2,262.8392","-0.017","29.870","60.000"
"452770","2,262.8446","-0.033","29.840","60.000"
"452771","2,262.8499","-0.017","29.875","60.000"
"452772","2,262.8552","-0.017","29.885","60.000"
"452773","2,262.8605","-0.050","29.885","60.000"
"452774","2,262.8645","-0.033","29.870","60.000"
"452775","2,262.8685","-0.033","29.890","60.000"
"452776","2,262.8725","-0.033","29.890","60.000"
"452777","2,262.8765","-0.033","29.850","60.000"
"452778","2,262.8819","-0.067","29.810","60.000"
"452779","2,262.8872","-0.033","29.810","60.000"
"452780","2,262.8925","-0.017","29.835","60.000"
"452781","2,262.8972","-0.017","29.855","60.000"
"452782","2,262.9018","-0.017","29.825","60.000"
"452783","2,262.9065","-0.017","29.825","60.000"
"452784","2,262.9111","0.000","29.885","60.000"
"452785","2,262.9157","0.000","29.855","60.000"
"452786","2,262.9204","0.000","29.855","60.000"
"452787","2,262.9250","-0.017","29.840","60.000"
"452788","2,262.9328","-0.017","29.850","60.000"
"452789","2,262.9406","-0.017","29.870","60.000"
"452790","2,262.9445","-0.017","29.870","60.000"
"452791","2,262.9485","-0.033","29.850","60.000"
"452792","2,262.9525","-0.017","29.840","60.000"
"452793","2,262.9564","-0.050","29.840","60.000"
"452794","2,262.9617","-0.050","29.860","60.000"
"452795","2,262.9670","-0.033","29.865","60.000"
"452796","2,262.9723","-0.033","29.865","60.000"
"452797","2,262.9769","-0.017","29.865","60.000"
"452798","2,262.9815","-0.033","29.860","60.000"
"452799","2,262.9860","-0.067","29.870","60.000"
"452800","2,262.9906","-0.033","29.870","60.000"
"452801","2,262.9952","-0.033","29.830","60.000"
"452802","2,262.9998","-0.017","29.880","60.000"
"452803","2,263.0044","-0.017","29.880","60.000"
"452804","2,263.0125","-0.033","29.860","60.000"
"452805","2,263.0207","-0.017","29.875","60.000"
"452806","2,263.0247","-0.017","29.920","60.000"
"452807","2,263.0287","-0.017","29.920","60.000"
"452808","2,263.0327","-0.017","29.840","60.000"
"452809","2,263.0367","-0.017","29.850","60.000"
"452810","2,263.0420","0.000","29.850","60.000"
"452811","2,263.0473","0.000","29.870","60.000"
"452812","2,263.0525","0.000","29.850","60.000"
"452813","2,263.0571","0.000","29.850","60.000"
"452814","2,263.0617","0.000","29.915","60.000"
"452815","2,263.0662","0.000","29.845","60.000"
"452816","2,263.0708","-0.017","29.875","60.000"
"452817","2,263.0753","-0.017","29.875","60.000"
