"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"476586","2,381.8720","6.200","31.085","60.000"
"476587","2,381.8773","6.167","31.090","60.000"
"476588","2,381.8826","6.050","31.075","60.000"
"476589","2,381.8879","5.800","31.095","60.000"
"476590","2,381.8932","5.650","31.095","60.000"
"476591","2,381.8985","5.617","31.065","60.000"
"476592","2,381.9039","5.650","31.070","60.000"
"476593","2,381.9092","5.517","31.070","60.000"
"476594","2,381.9145","5.450","31.095","60.000"
"476595","2,381.9186","5.483","31.040","60.000"
"476596","2,381.9227","5.467","31.075","60.000"
"476597","2,381.9267","5.517","31.075","60.000"
"476598","2,381.9308","5.467","31.090","60.000"
"476599","2,381.9361","5.550","31.055","60.000"
"476600","2,381.9414","5.517","31.055","60.000"
"476601","2,381.9467","5.467","31.085","60.000"
"476602","2,381.9513","5.533","31.095","60.000"
"476603","2,381.9559","5.550","31.095","60.000"
"476604","2,381.9605","5.500","31.075","60.000"
"476605","2,381.9651","5.550","31.050","60.000"
"476606","2,381.9696","5.500","31.105","60.000"
"476607","2,381.9742","5.433","31.105","60.000"
"476608","2,381.9788","5.317","31.120","60.000"
"476609","2,381.9868","5.350","31.070","60.000"
"476610","2,381.9948","5.350","31.070","60.000"
"476611","2,381.9988","5.267","31.110","60.000"
"476612","2,382.0028","5.400","31.105","60.000"
"476613","2,382.0068","5.417","31.075","60.000"
"476614","2,382.0108","5.467","31.075","60.000"
