"Viewer Version","2.91"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM6, 115200, ECHOOFF"
"Sensor Cable Version","1.8"
"Product Type","Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config","SHDLC Device Address: 0"
"Product ID","0x03010101"
"Sensor Serial","0000313239354A51"
"I2C Address","33"
"Supply Voltage","3.5 V"
"Command Address","0x3608"
"Sampling Time [ms]","5"
"Scale Factor Flow lin.","60"
"Scale Factor Temp lin.","200"
"Scale Factor Custom","1"
"Sample #","Relative Time[s]","Flow linearized [Pa]","Temperature linearized [deg C]","Custom []"
"487816","2,437.9928","0.000","30.835","60.000"
"487817","2,437.9981","0.000","30.830","60.000"
"487818","2,438.0034","0.017","30.830","60.000"
"487819","2,438.0086","0.000","30.850","60.000"
"487820","2,438.0139","0.000","30.840","60.000"
"487821","2,438.0192","0.000","30.840","60.000"
"487822","2,438.0246","0.000","30.840","60.000"
"487823","2,438.0301","-0.017","30.820","60.000"
"487824","2,438.0356","0.000","30.840","60.000"
"487825","2,438.0396","0.000","30.840","60.000"
"487826","2,438.0436","0.000","30.845","60.000"
"487827","2,438.0476","0.000","30.800","60.000"
"487828","2,438.0516","0.000","30.800","60.000"
"487829","2,438.0569","0.017","30.805","60.000"
"487830","2,438.0623","-0.017","30.845","60.000"
"487831","2,438.0676","-0.017","30.840","60.000"
"487832","2,438.0729","-0.017","30.840","60.000"
"487833","2,438.0782","0.000","30.810","60.000"
"487834","2,438.0836","-0.033","30.830","60.000"
"487835","2,438.0889","-0.017","30.830","60.000"
"487836","2,438.0942","-0.017","30.840","60.000"
"487837","2,438.0995","-0.017","30.820","60.000"
"487838","2,438.1049","-0.017","30.820","60.000"
"487839","2,438.1103","0.017","30.855","60.000"
"487840","2,438.1156","0.000","30.830","60.000"
"487841","2,438.1196","0.017","30.820","60.000"
"487842","2,438.1236","-0.017","30.820","60.000"
"487843","2,438.1276","0.000","30.810","60.000"
"487844","2,438.1316","0.000","30.840","60.000"
"487845","2,438.1369","-0.017","30.840","60.000"
"487846","2,438.1422","0.000","30.840","60.000"
"487847","2,438.1476","0.017","30.835","60.000"
"487848","2,438.1521","0.000","30.820","60.000"
"487849","2,438.1566","0.017","30.820","60.000"
"487850","2,438.1611","0.000","30.820","60.000"
"487851","2,438.1656","0.017","30.820","60.000"
"487852","2,438.1701","0.000","30.820","60.000"
"487853","2,438.1747","-0.017","30.800","60.000"
"487854","2,438.1792","0.000","30.815","60.000"
"487855","2,438.1874","0.000","30.815","60.000"
"487856","2,438.1956","0.000","30.835","60.000"
"487857","2,438.1996","-0.017","30.890","60.000"
"487858","2,438.2036","-0.017","30.815","60.000"
"487859","2,438.2076","-0.033","30.815","60.000"
"487860","2,438.2116","-0.033","30.825","60.000"
"487861","2,438.2169","-0.017","30.820","60.000"
"487862","2,438.2222","-0.050","30.820","60.000"
"487863","2,438.2276","-0.017","30.820","60.000"
"487864","2,438.2321","-0.017","30.820","60.000"
"487865","2,438.2366","-0.017","30.825","60.000"
"487866","2,438.2411","0.000","30.825","60.000"
"487867","2,438.2456","-0.033","30.840","60.000"
"487868","2,438.2501","-0.017","30.830","60.000"
"487869","2,438.2546","-0.017","30.830","60.000"
"487870","2,438.2592","-0.050","30.840","60.000"
"487871","2,438.2673","-0.067","30.820","60.000"
"487872","2,438.2755","-0.067","30.820","60.000"
"487873","2,438.2795","-0.050","30.820","60.000"
"487874","2,438.2835","-0.067","30.805","60.000"
"487875","2,438.2875","-0.067","30.780","60.000"
"487876","2,438.2915","-0.067","30.780","60.000"
"487877","2,438.2968","-0.050","30.835","60.000"
"487878","2,438.3021","-0.050","30.840","60.000"
"487879","2,438.3073","-0.017","30.840","60.000"
"487880","2,438.3119","0.000","30.820","60.000"
"487881","2,438.3164","-0.083","30.855","60.000"
"487882","2,438.3210","0.000","30.820","60.000"
"487883","2,438.3255","-0.017","30.820","60.000"
"487884","2,438.3300","-0.050","30.825","60.000"
"487885","2,438.3346","0.000","30.800","60.000"
"487886","2,438.3391","-0.083","30.800","60.000"
"487887","2,438.3472","0.000","30.835","60.000"
"487888","2,438.3552","-0.017","30.820","60.000"
"487889","2,438.3605","0.000","30.830","60.000"
"487890","2,438.3659","0.033","30.830","60.000"
"487891","2,438.3712","-0.017","30.855","60.000"
"487892","2,438.3752","-0.017","30.815","60.000"
"487893","2,438.3792","0.000","30.815","60.000"
"487894","2,438.3831","-0.033","30.830","60.000"
"487895","2,438.3871","0.000","30.835","60.000"
"487896","2,438.3917","-0.017","30.835","60.000"
"487897","2,438.3962","-0.017","30.805","60.000"
"487898","2,438.4008","0.000","30.820","60.000"
"487899","2,438.4054","-0.017","30.840","60.000"
"487900","2,438.4100","0.017","30.840","60.000"
"487901","2,438.4145","0.017","30.840","60.000"
"487902","2,438.4191","0.033","30.805","60.000"
"487903","2,438.4271","0.033","30.805","60.000"
"487904","2,438.4351","0.017","30.810","60.000"
"487905","2,438.4405","0.000","30.815","60.000"
"487906","2,438.4460","0.017","30.820","60.000"
"487907","2,438.4514","0.017","30.820","60.000"
"487908","2,438.4554","0.000","30.815","60.000"
"487909","2,438.4593","0.033","30.805","60.000"
"487910","2,438.4633","0.050","30.805","60.000"
"487911","2,438.4673","0.050","30.820","60.000"
"487912","2,438.4718","0.033","30.805","60.000"
"487913","2,438.4764","0.050","30.820","60.000"
"487914","2,438.4809","0.050","30.820","60.000"
"487915","2,438.4855","0.050","30.830","60.000"
"487916","2,438.4900","0.100","30.830","60.000"
"487917","2,438.4946","0.050","30.830","60.000"
"487918","2,438.4991","0.083","30.845","60.000"
"487919","2,438.5073","-0.050","30.860","60.000"
"487920","2,438.5155","-0.183","30.860","60.000"
"487921","2,438.5195","0.000","30.835","60.000"
"487922","2,438.5235","0.133","30.850","60.000"
"487923","2,438.5275","0.333","30.795","60.000"
"487924","2,438.5315","-0.083","30.795","60.000"
"487925","2,438.5368","0.033","30.815","60.000"
"487926","2,438.5420","0.167","30.840","60.000"
"487927","2,438.5473","-0.100","30.840","60.000"
"487928","2,438.5518","0.133","30.845","60.000"
"487929","2,438.5564","-0.033","30.785","60.000"
"487930","2,438.5609","0.117","30.820","60.000"
"487931","2,438.5655","0.217","30.820","60.000"
"487932","2,438.5700","0.067","30.820","60.000"
"487933","2,438.5746","0.133","30.820","60.000"
"487934","2,438.5791","-0.033","30.820","60.000"
"487935","2,438.5873","0.067","30.810","60.000"
"487936","2,438.5955","0.117","30.800","60.000"
"487937","2,438.5995","0.183","30.800","60.000"
"487938","2,438.6035","0.167","30.800","60.000"
"487939","2,438.6075","-0.033","30.820","60.000"
"487940","2,438.6115","0.083","30.775","60.000"
"487941","2,438.6168","0.083","30.775","60.000"
"487942","2,438.6221","0.083","30.845","60.000"
"487943","2,438.6274","0.217","30.810","60.000"
"487944","2,438.6319","0.217","30.810","60.000"
"487945","2,438.6364","0.317","30.795","60.000"
"487946","2,438.6410","0.350","30.835","60.000"
"487947","2,438.6455","0.417","30.855","60.000"
"487948","2,438.6500","0.650","30.855","60.000"
"487949","2,438.6546","0.800","30.795","60.000"
"487950","2,438.6591","0.317","30.815","60.000"
"487951","2,438.6673","0.450","30.815","60.000"
"487952","2,438.6755","0.567","30.795","60.000"
"487953","2,438.6795","0.067","30.855","60.000"
"487954","2,438.6835","0.650","30.800","60.000"
"487955","2,438.6875","0.200","30.800","60.000"
"487956","2,438.6915","0.400","30.820","60.000"
"487957","2,438.6967","0.533","30.820","60.000"
"487958","2,438.7020","0.150","30.820","60.000"
"487959","2,438.7073","0.617","30.855","60.000"
"487960","2,438.7118","0.317","30.830","60.000"
"487961","2,438.7164","0.367","30.830","60.000"
"487962","2,438.7209","0.400","30.830","60.000"
"487963","2,438.7255","0.283","30.810","60.000"
"487964","2,438.7300","0.533","30.830","60.000"
"487965","2,438.7346","0.300","30.830","60.000"
"487966","2,438.7391","0.300","30.840","60.000"
"487967","2,438.7471","0.133","30.820","60.000"
"487968","2,438.7552","0.250","30.820","60.000"
"487969","2,438.7606","0.300","30.800","60.000"
"487970","2,438.7660","0.150","30.830","60.000"
"487971","2,438.7714","0.283","30.820","60.000"
"487972","2,438.7754","0.350","30.820","60.000"
"487973","2,438.7794","0.383","30.840","60.000"
"487974","2,438.7835","0.450","30.820","60.000"
"487975","2,438.7875","0.367","30.820","60.000"
"487976","2,438.7920","0.367","30.820","60.000"
"487977","2,438.7965","0.450","30.840","60.000"
"487978","2,438.8010","0.433","30.855","60.000"
"487979","2,438.8056","0.417","30.855","60.000"
"487980","2,438.8101","0.400","30.830","60.000"
"487981","2,438.8146","0.433","30.805","60.000"
"487982","2,438.8191","0.467","30.805","60.000"
"487983","2,438.8273","0.450","30.805","60.000"
"487984","2,438.8355","0.483","30.825","60.000"
"487985","2,438.8395","0.467","30.825","60.000"
"487986","2,438.8435","0.433","30.810","60.000"
"487987","2,438.8475","0.417","30.845","60.000"
"487988","2,438.8515","0.400","30.800","60.000"
"487989","2,438.8568","0.317","30.800","60.000"
"487990","2,438.8621","0.333","30.810","60.000"
"487991","2,438.8674","0.367","30.820","60.000"
"487992","2,438.8719","0.317","30.820","60.000"
"487993","2,438.8765","0.333","30.810","60.000"
"487994","2,438.8810","0.333","30.820","60.000"
"487995","2,438.8855","0.233","30.820","60.000"
"487996","2,438.8901","0.283","30.820","60.000"
"487997","2,438.8946","0.300","30.835","60.000"
"487998","2,438.8991","0.333","30.835","60.000"
"487999","2,438.9074","0.333","30.835","60.000"
"488000","2,438.9156","0.333","30.820","60.000"
"488001","2,438.9196","0.333","30.810","60.000"
"488002","2,438.9235","0.317","30.810","60.000"
"488003","2,438.9275","0.250","30.835","60.000"
"488004","2,438.9315","0.083","30.835","60.000"
"488005","2,438.9368","0.050","30.800","60.000"
"488006","2,438.9421","0.133","30.800","60.000"
"488007","2,438.9473","0.150","30.830","60.000"
"488008","2,438.9519","0.217","30.845","60.000"
"488009","2,438.9564","0.167","30.845","60.000"
"488010","2,438.9609","0.117","30.785","60.000"
"488011","2,438.9655","0.150","30.845","60.000"
"488012","2,438.9700","0.217","30.785","60.000"
"488013","2,438.9745","0.283","30.785","60.000"
"488014","2,438.9791","0.250","30.810","60.000"
"488015","2,438.9873","0.200","30.800","60.000"
"488016","2,438.9955","0.017","30.800","60.000"
"488017","2,438.9995","0.150","30.820","60.000"
"488018","2,439.0035","0.183","30.810","60.000"
"488019","2,439.0075","0.100","30.835","60.000"
"488020","2,439.0115","0.300","30.835","60.000"
"488021","2,439.0168","0.200","30.820","60.000"
"488022","2,439.0221","0.133","30.800","60.000"
"488023","2,439.0273","0.167","30.800","60.000"
"488024","2,439.0326","0.117","30.865","60.000"
"488025","2,439.0379","0.167","30.800","60.000"
"488026","2,439.0432","0.083","30.800","60.000"
"488027","2,439.0485","0.017","30.830","60.000"
"488028","2,439.0538","0.250","30.815","60.000"
"488029","2,439.0591","0.250","30.810","60.000"
"488030","2,439.0645","0.250","30.810","60.000"
"488031","2,439.0700","-0.033","30.820","60.000"
"488032","2,439.0754","-0.117","30.840","60.000"
"488033","2,439.0808","0.150","30.840","60.000"
"488034","2,439.0861","0.100","30.835","60.000"
"488035","2,439.0914","0.167","30.860","60.000"
"488036","2,439.0954","0.083","30.830","60.000"
"488037","2,439.0993","-0.067","30.830","60.000"
"488038","2,439.1033","0.033","30.815","60.000"
"488039","2,439.1072","0.000","30.810","60.000"
"488040","2,439.1118","0.050","30.810","60.000"
"488041","2,439.1164","0.117","30.790","60.000"
"488042","2,439.1210","0.067","30.835","60.000"
"488043","2,439.1255","0.167","30.810","60.000"
"488044","2,439.1301","0.117","30.810","60.000"
"488045","2,439.1347","0.117","30.855","60.000"
"488046","2,439.1393","0.100","30.800","60.000"
"488047","2,439.1472","0.050","30.800","60.000"
"488048","2,439.1551","0.067","30.830","60.000"
"488049","2,439.1606","-0.500","30.845","60.000"
"488050","2,439.1660","-2.200","30.845","60.000"
"488051","2,439.1715","1.900","30.820","60.000"
"488052","2,439.1755","0.533","30.800","60.000"
"488053","2,439.1794","0.350","30.820","60.000"
"488054","2,439.1834","1.150","30.820","60.000"
"488055","2,439.1874","-2.333","30.830","60.000"
"488056","2,439.1919","1.667","30.840","60.000"
"488057","2,439.1965","-0.983","30.840","60.000"
"488058","2,439.2010","-0.033","30.860","60.000"
"488059","2,439.2055","-0.217","30.830","60.000"
"488060","2,439.2100","-1.000","30.845","60.000"
"488061","2,439.2145","0.483","30.845","60.000"
"488062","2,439.2191","-0.833","30.860","60.000"
"488063","2,439.2273","0.250","30.805","60.000"
"488064","2,439.2355","-0.017","30.805","60.000"
"488065","2,439.2408","-0.283","30.840","60.000"
"488066","2,439.2461","0.433","30.800","60.000"
"488067","2,439.2514","-0.317","30.800","60.000"
"488068","2,439.2554","0.067","30.780","60.000"
"488069","2,439.2594","-0.133","30.825","60.000"
"488070","2,439.2634","-0.283","30.810","60.000"
"488071","2,439.2673","-0.133","30.810","60.000"
"488072","2,439.2719","-0.383","30.825","60.000"
"488073","2,439.2764","-0.067","30.820","60.000"
"488074","2,439.2809","-0.167","30.820","60.000"
"488075","2,439.2855","-0.167","30.805","60.000"
"488076","2,439.2900","-0.133","30.815","60.000"
"488077","2,439.2945","-0.300","30.840","60.000"
"488078","2,439.2991","-0.167","30.840","60.000"
"488079","2,439.3073","-0.233","30.790","60.000"
"488080","2,439.3155","-0.200","30.820","60.000"
"488081","2,439.3208","-0.267","30.820","60.000"
"488082","2,439.3261","-0.283","30.845","60.000"
"488083","2,439.3315","-0.217","30.835","60.000"
"488084","2,439.3354","-0.250","30.830","60.000"
"488085","2,439.3394","-0.183","30.830","60.000"
"488086","2,439.3433","-0.233","30.805","60.000"
"488087","2,439.3473","-0.250","30.840","60.000"
"488088","2,439.3518","-0.233","30.840","60.000"
"488089","2,439.3564","-0.267","30.800","60.000"
"488090","2,439.3609","-0.217","30.840","60.000"
"488091","2,439.3655","-0.267","30.840","60.000"
"488092","2,439.3700","-0.283","30.825","60.000"
"488093","2,439.3745","-0.350","30.800","60.000"
"488094","2,439.3791","-0.350","30.805","60.000"
"488095","2,439.3871","-0.333","30.805","60.000"
"488096","2,439.3952","-0.333","30.800","60.000"
"488097","2,439.4006","-0.333","30.815","60.000"
